Time Pressure Temperature AccX AccY AccZ GyroX GyroY GyroZ
79992 97426.27 30.32 -0.14 -0.91 -0.26 -7.39 6.24 5.08
80148 97424.30 30.33 -0.10 -0.98 -0.32 3.19 3.52 4.68
80306 97425.37 30.34 -0.25 -0.89 -0.33 4.65 4.97 -1.13
80462 97423.61 30.36 -0.13 -0.93 -0.35 7.57 5.62 -9.70
80619 97424.86 30.37 -0.23 -0.90 -0.37 8.98 14.31 -12.58
80775 97425.09 30.37 -0.06 -0.96 -0.23 7.47 0.83 -12.36
80931 97423.64 30.39 -0.12 -0.94 -0.26 15.54 37.88 0.72
81087 97420.55 30.40 -0.24 -1.08 0.08 8.45 -23.18 -16.32
81243 97420.13 30.41 0.11 -1.10 0.06 -17.31 -1.29 10.77
81399 97417.69 30.42 -0.09 -0.67 -0.34 3.63 -9.23 -9.32
81555 97417.03 30.43 -0.19 -1.22 -0.33 -1.00 11.59 14.56
81714 97416.47 30.45 -0.15 -0.93 -0.42 4.87 -21.95 -10.50
81870 97416.48 30.45 -0.11 -0.99 -0.32 -14.06 -64.00 -27.10
82027 97418.27 30.46 -0.03 -0.90 -0.46 0.65 -3.90 -15.57
82182 97418.61 30.47 -0.11 -0.90 -0.29 1.97 -32.57 -13.20
82338 97418.86 30.48 -0.12 -0.80 -0.26 2.05 1.71 1.45
82494 97419.56 30.49 -0.16 -1.13 -0.29 0.27 5.37 4.35
82649 97421.70 30.50 0.05 -0.94 -0.47 -4.31 5.59 -6.19
82805 97421.45 30.51 0.00 -0.98 -0.26 -5.21 -2.92 0.72
82961 97421.87 30.52 -0.04 -1.11 -0.33 -7.44 9.07 11.32
83119 97424.86 30.53 -0.10 -0.62 -0.45 4.05 -23.02 -31.85
83276 97423.20 30.54 -0.20 -0.96 -0.42 7.51 13.80 9.88
83431 97424.05 30.55 -0.03 -1.01 -0.33 4.71 10.80 6.32
83588 97423.14 30.56 -0.09 -0.91 -0.40 -4.12 16.98 6.32
83743 97425.16 30.58 0.12 -0.91 -0.46 6.61 48.03 17.06
83900 97423.14 30.58 -0.10 -0.94 -0.29 22.22 64.00 36.19
84057 97423.48 30.59 -0.15 -0.91 -0.36 14.86 64.00 36.94
84214 97423.14 30.60 -0.16 -0.83 -0.59 10.53 35.55 18.72
84370 97422.89 30.61 0.11 -1.08 -0.16 30.34 64.00 64.00
84528 97422.67 30.62 -0.20 -0.90 -0.44 46.47 64.00 64.00
84685 97423.06 30.63 -0.17 -0.88 -0.41 27.36 64.00 41.92
84841 97420.31 30.64 -0.24 -0.88 -0.40 18.75 64.00 28.73
84997 97423.17 30.66 -0.24 -0.90 -0.33 10.89 8.82 -1.17
85154 97424.23 30.67 0.00 -0.95 -0.28 -10.93 53.60 25.51
85310 97422.63 30.67 -0.29 -0.78 -0.62 -3.73 -12.70 -1.37
85466 97424.66 30.69 -0.16 -0.88 -0.41 17.25 1.69 -11.48
85622 97424.84 30.70 -0.11 -0.95 -0.26 -5.45 8.19 9.68
85778 97422.58 30.70 -0.31 -0.81 -0.54 -1.50 3.97 -0.70
85936 97423.30 30.71 -0.10 -0.87 -0.45 11.06 7.42 -3.76
86092 97422.98 30.72 -0.15 -0.92 -0.30 -5.28 0.68 4.64
