Time Pressure Temperature AccX AccY AccZ GyroX GyroY GyroZ
54945 97567.88 46.58 0.07 -0.85 -0.52 1.29 2.22 -0.48
55102 97568.91 46.58 0.07 -0.85 -0.52 1.34 2.45 -0.40
55259 97569.50 46.59 0.07 -0.85 -0.52 1.25 2.45 -0.57
55414 97567.67 46.59 0.07 -0.85 -0.52 1.41 2.37 -0.50
55570 97568.87 46.59 0.07 -0.85 -0.52 1.40 2.34 -0.63
55727 97569.80 46.60 0.07 -0.85 -0.52 1.28 2.45 -0.53
55882 97568.20 46.60 0.07 -0.85 -0.52 1.41 2.28 -0.47
56038 97566.75 46.61 0.07 -0.85 -0.52 1.32 2.31 -0.35
56194 97567.48 46.61 0.07 -0.85 -0.52 1.43 2.34 -0.53
56350 97567.03 46.61 0.07 -0.85 -0.52 1.45 2.47 -0.45
56509 97565.38 46.61 0.07 -0.85 -0.52 1.45 2.36 -0.59
56664 97569.73 46.62 0.07 -0.85 -0.53 1.34 2.35 -0.41
56820 97567.05 46.62 0.07 -0.85 -0.53 1.31 2.33 -0.19
56977 97568.55 46.63 0.07 -0.85 -0.53 1.22 2.44 -0.58
57132 97568.65 46.62 0.07 -0.85 -0.52 1.48 2.16 -0.43
57289 97568.05 46.63 0.07 -0.85 -0.52 1.36 2.40 -0.51
57444 97568.35 46.64 0.07 -0.85 -0.52 1.52 2.12 -0.34
57600 97569.09 46.64 0.07 -0.85 -0.52 1.35 2.64 -0.72
57756 97568.46 46.64 0.07 -0.85 -0.52 1.13 1.99 -0.46
57912 97572.07 46.65 0.06 -0.85 -0.52 1.14 2.59 -0.79
58071 97568.03 46.65 0.07 -0.85 -0.52 1.12 2.10 -0.53
58226 97570.45 46.66 0.06 -0.85 -0.52 1.27 2.51 -0.66
58382 97567.70 46.66 0.07 -0.85 -0.53 1.34 2.56 -0.36
58539 97567.05 46.67 0.06 -0.84 -0.53 1.52 2.36 -0.50
58695 97568.59 46.67 0.07 -0.85 -0.53 1.40 2.29 -0.68
58850 97566.14 46.67 0.06 -0.84 -0.53 1.51 2.01 -0.57
59006 97565.11 46.67 0.07 -0.85 -0.52 1.55 2.55 -0.72
59162 97565.00 46.67 0.07 -0.85 -0.52 1.51 1.99 -0.27
59318 97565.77 46.68 0.07 -0.85 -0.52 1.22 2.41 -0.65
59477 97562.40 46.68 0.07 -0.85 -0.52 1.42 2.54 -0.64
59632 97564.79 46.69 0.07 -0.85 -0.52 1.48 2.27 -0.76
59788 97563.39 46.69 0.06 -0.85 -0.52 1.29 2.64 -0.91
59944 97567.72 46.69 0.07 -0.85 -0.52 1.50 1.95 -0.58
60101 97563.50 46.69 0.06 -0.85 -0.52 1.43 2.42 -0.99
60256 97565.63 46.70 0.07 -0.85 -0.52 1.37 2.37 -0.44
60412 97563.75 46.70 0.06 -0.85 -0.52 1.01 2.31 -0.67
60568 97562.61 46.70 0.07 -0.85 -0.52 1.07 2.31 -0.64
60724 97563.03 46.71 0.06 -0.85 -0.52 1.31 2.32 -0.38
60882 97563.44 46.71 0.06 -0.85 -0.52 1.45 2.53 -0.74
61038 97564.40 46.71 0.07 -0.85 -0.52 1.28 2.37 -0.58
61194 97564.42 46.72 0.06 -0.85 -0.52 1.44 2.19 -0.72
61351 97563.80 46.72 0.07 -0.85 -0.52 1.50 2.16 -0.60
61506 97563.39 46.72 0.07 -0.85 -0.52 1.35 2.43 -0.41
61662 97566.19 46.73 0.07 -0.85 -0.52 1.20 2.53 -0.36
61818 97563.97 46.73 0.07 -0.85 -0.52 1.35 2.46 -0.16
61974 97564.95 46.73 0.07 -0.85 -0.52 1.27 2.50 -0.49
62130 97564.16 46.73 0.07 -0.85 -0.52 1.33 2.13 -0.27
62286 97565.27 46.74 0.07 -0.85 -0.52 1.41 2.93 -0.54
